ORTHO,PHON,GPMATCH
criiez,kRijje,(c-k.r-R.i-ij.i-j.ez-e)
criions,kRijj§,(c-k.r-R.i-ij.i-j.on-§.s-#)
crime,kRim,(c-k.r-R.i-i.m-m.e-#)
crimes,kRim,(c-k.r-R.i-i.m-m.e-#.s-#)
criminel,kRiminEl,(c-k.r-R.i-i.m-m.i-i.n-n.e-E.l-l)
criminel,kRiminEl,(c-k.r-R.i-i.m-m.i-i.n-n.e-E.l-l)
criminelle,kRiminEl,(c-k.r-R.i-i.m-m.i-i.n-n.e-E.ll-l.e-#)
criminels,kRiminEl,(c-k.r-R.i-i.m-m.i-i.n-n.e-E.l-l.s-#)
criminels,kRiminEl,(c-k.r-R.i-i.m-m.i-i.n-n.e-E.l-l.s-#)
crin,kR5,(c-k.r-R.in-5)
crincrin,kR5kR5,(c-k.r-R.in-5.c-k.r-R.in-5)
crinière,kRinjER,(c-k.r-R.i-i.n-n.i-j.è-E.r-R.e-#)
crinières,kRinjER,(c-k.r-R.i-i.n-n.i-j.è-E.r-R.e-#.s-#)
crinoline,kRinolin,(c-k.r-R.i-i.n-n.o-o.l-l.i-i.n-n.e-#)
crins,kR5,(c-k.r-R.in-5.s-#)
crions,kRij§,(c-k.r-R.i-ij.on-§.s-#)
crique,kRik,(c-k.r-R.i-i.qu-k.e-#)
criques,kRik,(c-k.r-R.i-i.qu-k.e-#.s-#)
criquet,kRikE,(c-k.r-R.i-i.qu-k.e-E.t-#)
criquets,kRikE,(c-k.r-R.i-i.qu-k.e-E.t-#.s-#)
cris,kRi,(c-k.r-R.i-i.s-#)
crise,kRiz,(c-k.r-R.i-i.s-z.e-#)
crises,kRiz,(c-k.r-R.i-i.s-z.e-#.s-#)
crispation,kRispasj§,(c-k.r-R.i-i.s-s.p-p.a-a.t-s.i-j.on-§)
crispe,kRisp%,(c-k.r-R.i-i.s-s.p-p.e-%)
crispé,kRispe,(c-k.r-R.i-i.s-s.p-p.é-e)
crispée,kRispe,(c-k.r-R.i-i.s-s.p-p.é-e.e-#)
crispés,kRispe,(c-k.r-R.i-i.s-s.p-p.é-e.s-#)
crissaient,kRisE,(c-k.r-R.i-i.ss-s.ai-E.e-#.n-#.t-#)
crissant,kRis@,(c-k.r-R.i-i.ss-s.an-@.t-#)
crisse,kRis,(c-k.r-R.i-i.ss-s.e-#)
crissement,kRism@,(c-k.r-R.i-i.ss-s.e-#.m-m.en-@.t-#)
crissements,kRism@,(c-k.r-R.i-i.ss-s.e-#.m-m.en-@.t-#.s-#)
crissent,kRis,(c-k.r-R.i-i.ss-s.e-#.n-#.t-#)
crisser,kRise,(c-k.r-R.i-i.ss-s.er-e)
cristal,kRistal,(c-k.r-R.i-i.s-s.t-t.a-a.l-l)
cristalline,kRistalin,(c-k.r-R.i-i.s-s.t-t.a-a.ll-l.i-i.n-n.e-#)
cristallisé,kRistalize,(c-k.r-R.i-i.s-s.t-t.a-a.ll-l.i-i.s-z.é-e)
cristallisées,kRistalize,(c-k.r-R.i-i.s-s.t-t.a-a.ll-l.i-i.s-z.é-e.e-#.s-#)
cristaux,kRistO,(c-k.r-R.i-i.s-s.t-t.au-O.x-#)
critère,kRitER,(c-k.r-R.i-i.t-t.è-E.r-R.e-#)
critique,kRitik,(c-k.r-R.i-i.t-t.i-i.qu-k.e-#)
critique,kRitik,(c-k.r-R.i-i.t-t.i-i.qu-k.e-#)
critiqué,kRitike,(c-k.r-R.i-i.t-t.i-i.qu-k.é-e)
critiquer,kRitike,(c-k.r-R.i-i.t-t.i-i.qu-k.er-e)
critiques,kRitik,(c-k.r-R.i-i.t-t.i-i.qu-k.e-#.s-#)
croassa,kRoasa,(c-k.r-R.o-o.a-a.ss-s.a-a)
croassait,kRoasE,(c-k.r-R.o-o.a-a.ss-s.ai-E.t-#)
croasse,kRoas,(c-k.r-R.o-o.a-a.ss-s.e-#)
croassement,kRoasm@,(c-k.r-R.o-o.a-a.ss-s.e-#.m-m.en-@.t-#)
croassements,kRoasm@,(c-k.r-R.o-o.a-a.ss-s.e-#.m-m.en-@.t-#.s-#)
croassent,kRoas,(c-k.r-R.o-o.a-a.ss-s.e-#.n-#.t-#)
croasser,kRoase,(c-k.r-R.o-o.a-a.ss-s.er-e)
croc,kRO,(c-k.r-R.o-O.c-#)
croche,kRoS,(c-k.r-R.o-o.ch-S.e-#)
crochet,kRoSE,(c-k.r-R.o-o.ch-S.e-E.t-#)
crochets,kRoSE,(c-k.r-R.o-o.ch-S.e-E.t-#.s-#)
crochu,kRoSy,(c-k.r-R.o-o.ch-S.u-y)
crochu,kRoSy,(c-k.r-R.o-o.ch-S.u-y)
crochue,kRoSy,(c-k.r-R.o-o.ch-S.u-y.e-#)
crochues,kRoSy,(c-k.r-R.o-o.ch-S.u-y.e-#.s-#)
croco,kRokO,(c-k.r-R.o-o.c-k.o-O)
crocodile,kRokodil,(c-k.r-R.o-o.c-k.o-o.d-d.i-i.l-l.e-#)
crocodile,kRokodil,(c-k.r-R.o-o.c-k.o-o.d-d.i-i.l-l.e-#)
crocodiles,kRokodil,(c-k.r-R.o-o.c-k.o-o.d-d.i-i.l-l.e-#.s-#)
crocs,kRO,(c-k.r-R.o-O.c-#.s-#)
crocus,kRokys,(c-k.r-R.o-o.c-k.u-y.s-s)
crofts,kRoft,(c-k.r-R.o-o.f-f.t-t.s-#)
croie,kRwa,(c-k.r-R.oi-wa.e-#)
croient,kRwa,(c-k.r-R.oi-wa.e-#.n-#.t-#)
croira,kRwaRa,(c-k.r-R.oi-wa.r-R.a-a)
croirai,kRwaRE,(c-k.r-R.oi-wa.r-R.ai-E)
croirais,kRwaRE,(c-k.r-R.oi-wa.r-R.ai-E.s-#)
croirait,kRwaRE,(c-k.r-R.oi-wa.r-R.ai-E.t-#)
croire,kRwaR,(c-k.r-R.oi-wa.r-R.e-#)
croirez,kRwaRe,(c-k.r-R.oi-wa.r-R.ez-e)
croiront,kRwaR§,(c-k.r-R.oi-wa.r-R.on-§.t-#)
crois,kRwa,(c-k.r-R.oi-wa.s-#)
croîs,kRwa,(c-k.r-R.oî-wa.s-#)
croisa,kRwaza,(c-k.r-R.oi-wa.s-z.a-a)
croisades,kRwazad,(c-k.r-R.oi-wa.s-z.a-a.d-d.e-#.s-#)
croisaient,kRwazE,(c-k.r-R.oi-wa.s-z.ai-E.e-#.n-#.t-#)
croisait,kRwazE,(c-k.r-R.oi-wa.s-z.ai-E.t-#)
croisant,kRwaz@,(c-k.r-R.oi-wa.s-z.an-@.t-#)
croise,kRwaz,(c-k.r-R.oi-wa.s-z.e-#)
croisé,kRwaze,(c-k.r-R.oi-wa.s-z.é-e)
croisé,kRwaze,(c-k.r-R.oi-wa.s-z.é-e)
croisé,kRwaze,(c-k.r-R.oi-wa.s-z.é-e)
croisée,kRwaze,(c-k.r-R.oi-wa.s-z.é-e.e-#)
croisées,kRwaze,(c-k.r-R.oi-wa.s-z.é-e.e-#.s-#)
croisées,kRwaze,(c-k.r-R.oi-wa.s-z.é-e.e-#.s-#)
croisement,kRwazm@,(c-k.r-R.oi-wa.s-z.e-#.m-m.en-@.t-#)
croisent,kRwaz,(c-k.r-R.oi-wa.s-z.e-#.n-#.t-#)
croiser,kRwaze,(c-k.r-R.oi-wa.s-z.er-e)
croisèrent,kRwazER,(c-k.r-R.oi-wa.s-z.è-E.r-R.e-#.n-#.t-#)
croisés,kRwaze,(c-k.r-R.oi-wa.s-z.é-e.s-#)
croisés,kRwaze,(c-k.r-R.oi-wa.s-z.é-e.s-#)
croiseur,kRwaz9R,(c-k.r-R.oi-wa.s-z.eu-9.r-R)
croisière,kRwazjER,(c-k.r-R.oi-wa.s-z.i-j.è-E.r-R.e-#)
croisières,kRwazjER,(c-k.r-R.oi-wa.s-z.i-j.è-E.r-R.e-#.s-#)
croisons,kRwaz§,(c-k.r-R.oi-wa.s-z.on-§.s-#)
croissaient,kRwasE,(c-k.r-R.oi-wa.ss-s.ai-E.e-#.n-#.t-#)
croissance,kRwas@s,(c-k.r-R.oi-wa.ss-s.an-@.c-s.e-#)
croissant,kRwas@,(c-k.r-R.oi-wa.ss-s.an-@.t-#)
croissant,kRwas@,(c-k.r-R.oi-wa.ss-s.an-@.t-#)
croissant,kRwas@,(c-k.r-R.oi-wa.ss-s.an-@.t-#)
croissants,kRwas@,(c-k.r-R.oi-wa.ss-s.an-@.t-#.s-#)
croit,kRwa,(c-k.r-R.oi-wa.t-#)
croît,kRwa,(c-k.r-R.oî-wa.t-#)
croître,kRwatR%,(c-k.r-R.oî-wa.t-t.r-R.e-%)
croix,kRwa,(c-k.r-R.oi-wa.x-#)
croqua,kRoka,(c-k.r-R.o-o.qu-k.a-a)
croquait,kRokE,(c-k.r-R.o-o.qu-k.ai-E.t-#)
croquant,kRok@,(c-k.r-R.o-o.qu-k.an-@.t-#)
croquant,kRok@,(c-k.r-R.o-o.qu-k.an-@.t-#)
croquant,kRok@,(c-k.r-R.o-o.qu-k.an-@.t-#)
croquante,kRok@t,(c-k.r-R.o-o.qu-k.an-@.t-t.e-#)
croquantes,kRok@,(c-k.r-R.o-o.qu-k.an-@.t-#.e-#.s-#)
croquants,kRok@,(c-k.r-R.o-o.qu-k.an-@.t-#.s-#)
croquants,kRok@,(c-k.r-R.o-o.qu-k.an-@.t-#.s-#)
croque,kRok,(c-k.r-R.o-o.qu-k.e-#)
croqué,kRoke,(c-k.r-R.o-o.qu-k.é-e)
croquées,kRoke,(c-k.r-R.o-o.qu-k.é-e.e-#.s-#)
croquent,kRok,(c-k.r-R.o-o.qu-k.e-#.n-#.t-#)
croquer,kRoke,(c-k.r-R.o-o.qu-k.er-e)
croquera,kRokRa,(c-k.r-R.o-o.qu-k.e-#.r-R.a-a)
croques,kRok,(c-k.r-R.o-o.qu-k.e-#.s-#)
croqués,kRoke,(c-k.r-R.o-o.qu-k.é-e.s-#)
croquet,kRokE,(c-k.r-R.o-o.qu-k.e-E.t-#)
croquets,kRokE,(c-k.r-R.o-o.qu-k.e-E.t-#.s-#)
croquette,kRokEt,(c-k.r-R.o-o.qu-k.e-E.tt-t.e-#)
croquettes,kRokEt,(c-k.r-R.o-o.qu-k.e-E.tt-t.e-#.s-#)
croquez,kRoke,(c-k.r-R.o-o.qu-k.ez-e)
croquignol,kRokiNol,(c-k.r-R.o-o.qu-k.i-i.gn-N.o-o.l-l)
croquions,kRokj§,(c-k.r-R.o-o.qu-k.i-j.on-§.s-#)
croquis,kRoki,(c-k.r-R.o-o.qu-k.i-i.s-#)
cross,kRos,(c-k.r-R.o-o.ss-s)
crosse,kRos,(c-k.r-R.o-o.ss-s.e-#)
crossée,kRose,(c-k.r-R.o-o.ss-s.é-e.e-#)
crosses,kRos,(c-k.r-R.o-o.ss-s.e-#.s-#)
crotale,kRotal,(c-k.r-R.o-o.t-t.a-a.l-l.e-#)
crotales,kRotal,(c-k.r-R.o-o.t-t.a-a.l-l.e-#.s-#)
crotte,kRot,(c-k.r-R.o-o.tt-t.e-#)
crotté,kRote,(c-k.r-R.o-o.tt-t.é-e)
crottes,kRot,(c-k.r-R.o-o.tt-t.e-#.s-#)
crottés,kRote,(c-k.r-R.o-o.tt-t.é-e.s-#)
crottin,kRot5,(c-k.r-R.o-o.tt-t.in-5)
crottins,kRot5,(c-k.r-R.o-o.tt-t.in-5.s-#)
croulait,kRulE,(c-k.r-R.ou-u.l-l.ai-E.t-#)
croulant,kRul@,(c-k.r-R.ou-u.l-l.an-@.t-#)
croulants,kRul@,(c-k.r-R.ou-u.l-l.an-@.t-#.s-#)
croule,kRul,(c-k.r-R.ou-u.l-l.e-#)
croulent,kRul,(c-k.r-R.ou-u.l-l.e-#.n-#.t-#)
croulerais,kRulRE,(c-k.r-R.ou-u.l-l.e-#.r-R.ai-E.s-#)
croulons,kRul§,(c-k.r-R.ou-u.l-l.on-§.s-#)
croupe,kRup,(c-k.r-R.ou-u.p-p.e-#)
croupes,kRup,(c-k.r-R.ou-u.p-p.e-#.s-#)
croupie,kRupi,(c-k.r-R.ou-u.p-p.i-i.e-#)
croupis,kRupi,(c-k.r-R.ou-u.p-p.i-i.s-#)
croustillait,kRustijE,(c-k.r-R.ou-u.s-s.t-t.ill-ij.ai-E.t-#)
croustillant,kRustij@,(c-k.r-R.ou-u.s-s.t-t.ill-ij.an-@.t-#)
croustillantes,kRustij@t,(c-k.r-R.ou-u.s-s.t-t.ill-ij.an-@.t-t.e-#.s-#)
croustillants,kRustij@,(c-k.r-R.ou-u.s-s.t-t.ill-ij.an-@.t-#.s-#)
croustille,kRustij,(c-k.r-R.ou-u.s-s.t-t.ill-ij.e-#)
croûte,kRut,(c-k.r-R.oû-u.t-t.e-#)
croûte,kRut,(c-k.r-R.oû-u.t-t.e-#)
croûtes,kRut,(c-k.r-R.oû-u.t-t.e-#.s-#)
croûton,kRut§,(c-k.r-R.oû-u.t-t.on-§)
croûtons,kRut§,(c-k.r-R.oû-u.t-t.on-§.s-#)
croyable,kR4abl%,(c-k.r-R.oy-4.a-a.b-b.l-l.e-%)
croyaient,kR4E,(c-k.r-R.oy-4.ai-E.e-#.n-#.t-#)
croyais,kR4E,(c-k.r-R.oy-4.ai-E.s-#)
croyait,kR4E,(c-k.r-R.oy-4.ai-E.t-#)
croyance,kR4@s,(c-k.r-R.oy-4.an-@.c-s.e-#)
croyances,kR4@s,(c-k.r-R.oy-4.an-@.c-s.e-#.s-#)
croyant,kR4@,(c-k.r-R.oy-4.an-@.t-#)
croyant,kR4@,(c-k.r-R.oy-4.an-@.t-#)
croyez,kR4e,(c-k.r-R.oy-4.ez-e)
croyions,kR4j§,(c-k.r-R.oy-4.i-j.on-§.s-#)
croyons,kR4§,(c-k.r-R.oy-4.on-§.s-#)
cru,kRy,(c-k.r-R.u-y)
cru,kRy,(c-k.r-R.u-y)
cru,kRy,(c-k.r-R.u-y)
crû,kRy,(c-k.r-R.û-y)
cruauté,kRyOte,(c-k.r-R.u-y.au-O.t-t.é-e)
cruche,kRyS,(c-k.r-R.u-y.ch-S.e-#)
cruches,kRyS,(c-k.r-R.u-y.ch-S.e-#.s-#)
cruchon,kRyS§,(c-k.r-R.u-y.ch-S.on-§)
crucial,kRysjal,(c-k.r-R.u-y.c-s.i-j.a-a.l-l)
crucifiés,kRysifje,(c-k.r-R.u-y.c-s.i-i.f-f.i-j.é-e.s-#)
crudité,kRydite,(c-k.r-R.u-y.d-d.i-i.t-t.é-e)
crudités,kRydite,(c-k.r-R.u-y.d-d.i-i.t-t.é-e.s-#)
crue,kRy,(c-k.r-R.u-y.e-#)
crue,kRy,(c-k.r-R.u-y.e-#)
crue,kRy,(c-k.r-R.u-y.e-#)
cruel,kRyEl,(c-k.r-R.u-y.e-E.l-l)
cruelle,kRyEl,(c-k.r-R.u-y.e-E.ll-l.e-#)
cruellement,kRyElm@,(c-k.r-R.u-y.e-E.ll-l.e-#.m-m.en-@.t-#)
cruelles,kRyEl,(c-k.r-R.u-y.e-E.ll-l.e-#.s-#)
cruels,kRyEl,(c-k.r-R.u-y.e-E.l-l.s-#)
crues,kRy,(c-k.r-R.u-y.e-#.s-#)
crues,kRy,(c-k.r-R.u-y.e-#.s-#)
crûmes,kRym,(c-k.r-R.û-y.m-m.e-#.s-#)
crurent,kRyR,(c-k.r-R.u-y.r-R.e-#.n-#.t-#)
crus,kRy,(c-k.r-R.u-y.s-#)
crus,kRy,(c-k.r-R.u-y.s-#)
crustacé,kRystase,(c-k.r-R.u-y.s-s.t-t.a-a.c-s.é-e)
crustacé,kRystase,(c-k.r-R.u-y.s-s.t-t.a-a.c-s.é-e)
crustacés,kRystase,(c-k.r-R.u-y.s-s.t-t.a-a.c-s.é-e.s-#)
crustacés,kRystase,(c-k.r-R.u-y.s-s.t-t.a-a.c-s.é-e.s-#)
crut,kRy,(c-k.r-R.u-y.t-#)
crypte,kRipt%,(c-k.r-R.y-i.p-p.t-t.e-%)
cryptes,kRipt%,(c-k.r-R.y-i.p-p.t-t.e-%.s-#)
cube,kyb,(c-k.u-y.b-b.e-#)
cubes,kyb,(c-k.u-y.b-b.e-#.s-#)
cubisme,kybism%,(c-k.u-y.b-b.i-i.s-s.m-m.e-%)
cubitière,kybitjER,(c-k.u-y.b-b.i-i.t-t.i-j.è-E.r-R.e-#)
cubitus,kybitys,(c-k.u-y.b-b.i-i.t-t.u-y.s-s)
cueillaient,k9jE,(c-k.ue-9.ill-j.ai-E.e-#.n-#.t-#)
cueillais,k9jE,(c-k.ue-9.ill-j.ai-E.s-#)
cueillait,k9jE,(c-k.ue-9.ill-j.ai-E.t-#)
cueillant,k9j@,(c-k.ue-9.ill-j.an-@.t-#)
cueille,k9j,(c-k.ue-9.ill-j.e-#)
cueillent,k9j,(c-k.ue-9.ill-j.e-#.n-#.t-#)
cueillera,k9jRa,(c-k.ue-9.ill-j.e-#.r-R.a-a)
cueillerai,k9jRE,(c-k.ue-9.ill-j.e-#.r-R.ai-E)
cueillerais,k9jRE,(c-k.ue-9.ill-j.e-#.r-R.ai-E.s-#)
cueilleras,k9jRa,(c-k.ue-9.ill-j.e-#.r-R.a-a.s-#)
cueillerons,k9jR§,(c-k.ue-9.ill-j.e-#.r-R.on-§.s-#)
cueilles,k9j,(c-k.ue-9.ill-j.e-#.s-#)
cueillette,k9jEt,(c-k.ue-9.ill-j.e-E.tt-t.e-#)
cueilleur,k9j9R,(c-k.ue-9.ill-j.eu-9.r-R)
cueillez,k9je,(c-k.ue-9.ill-j.ez-e)
cueilli,k9ji,(c-k.ue-9.illi-ji)
cueillie,k9ji,(c-k.ue-9.illi-ji.e-#)
cueillies,k9ji,(c-k.ue-9.illi-ji.e-#.s-#)
cueillions,k9jj§,(c-k.ue-9.illi-jj.on-§.s-#)
cueillir,k9jiR,(c-k.ue-9.illi-ji.r-R)
cueillirent,k9jiR,(c-k.ue-9.illi-ji.r-R.e-#.n-#.t-#)
cueillit,k9ji,(c-k.ue-9.illi-ji.t-#)
cueillons,k9j§,(c-k.ue-9.ill-j.on-§.s-#)
cuiller,k8ijER,(c-k.u-8.ill-ij.er-ER)
cuillère,k8ijER,(c-k.u-8.ill-ij.è-E.r-R.e-#)
cuillerée,k8ijeRe,(c-k.u-8.ill-ij.e-e.r-R.é-e.e-#)
cuillerées,k8ijeRe,(c-k.u-8.ill-ij.e-e.r-R.é-e.e-#.s-#)
cuillères,k8ijER,(c-k.u-8.ill-ij.è-E.r-R.e-#.s-#)
cuillers,k8ijER,(c-k.u-8.ill-ij.e-E.r-R.s-#)
cuir,k8iR,(c-k.u-8.i-i.r-R)
cuirasse,k8iRas,(c-k.u-8.i-i.r-R.a-a.ss-s.e-#)
cuirassé,k8iRase,(c-k.u-8.i-i.r-R.a-a.ss-s.é-e)
cuirassée,k8iRase,(c-k.u-8.i-i.r-R.a-a.ss-s.é-e.e-#)
cuirasses,k8iRas,(c-k.u-8.i-i.r-R.a-a.ss-s.e-#.s-#)
cuirassés,k8iRase,(c-k.u-8.i-i.r-R.a-a.ss-s.é-e.s-#)
cuire,k8iR,(c-k.u-8.i-i.r-R.e-#)
cuis,k8i,(c-k.u-8.i-i.s-#)
cuisaient,k8izE,(c-k.u-8.i-i.s-z.ai-E.e-#.n-#.t-#)
cuisait,k8izE,(c-k.u-8.i-i.s-z.ai-E.t-#)
cuisant,k8iz@,(c-k.u-8.i-i.s-z.an-@.t-#)
cuisantes,k8iz@t,(c-k.u-8.i-i.s-z.an-@.t-t.e-#.s-#)
cuisants,k8iz@,(c-k.u-8.i-i.s-z.an-@.t-#.s-#)
cuise,k8iz,(c-k.u-8.i-i.s-z.e-#)
cuisent,k8iz,(c-k.u-8.i-i.s-z.e-#.n-#.t-#)
cuisez,k8ize,(c-k.u-8.i-i.s-z.ez-e)
cuisinait,k8izinE,(c-k.u-8.i-i.s-z.i-i.n-n.ai-E.t-#)
cuisine,k8izin,(c-k.u-8.i-i.s-z.i-i.n-n.e-#)
cuisine,k8izin,(c-k.u-8.i-i.s-z.i-i.n-n.e-#)
cuisiné,k8izine,(c-k.u-8.i-i.s-z.i-i.n-n.é-e)
cuisiné,k8izine,(c-k.u-8.i-i.s-z.i-i.n-n.é-e)
cuisiner,k8izine,(c-k.u-8.i-i.s-z.i-i.n-n.er-e)
cuisinerons,k8izinR§,(c-k.u-8.i-i.s-z.i-i.n-n.e-#.r-R.on-§.s-#)
cuisines,k8izin,(c-k.u-8.i-i.s-z.i-i.n-n.e-#.s-#)
cuisines,k8izin,(c-k.u-8.i-i.s-z.i-i.n-n.e-#.s-#)
cuisinés,k8izine,(c-k.u-8.i-i.s-z.i-i.n-n.é-e.s-#)
cuisinés,k8izine,(c-k.u-8.i-i.s-z.i-i.n-n.é-e.s-#)
cuisinier,k8izinje,(c-k.u-8.i-i.s-z.i-i.n-n.i-j.er-e)
cuisinière,k8izinjER,(c-k.u-8.i-i.s-z.i-i.n-n.i-j.è-E.r-R.e-#)
cuisinières,k8izinjER,(c-k.u-8.i-i.s-z.i-i.n-n.i-j.è-E.r-R.e-#.s-#)
cuisiniers,k8izinje,(c-k.u-8.i-i.s-z.i-i.n-n.i-j.er-e.s-#)
cuisons,k8iz§,(c-k.u-8.i-i.s-z.on-§.s-#)
cuissard,k8isaR,(c-k.u-8.i-i.ss-s.a-a.r-R.d-#)
cuisse,k8is,(c-k.u-8.i-i.ss-s.e-#)
cuisses,k8is,(c-k.u-8.i-i.ss-s.e-#.s-#)
cuisson,k8is§,(c-k.u-8.i-i.ss-s.on-§)
cuistot,k8istO,(c-k.u-8.i-i.s-s.t-t.o-O.t-#)
cuit,k8i,(c-k.u-8.i-i.t-#)
cuit,k8i,(c-k.u-8.i-i.t-#)
cuitait,k8itE,(c-k.u-8.i-i.t-t.ai-E.t-#)
cuite,k8it,(c-k.u-8.i-i.t-t.e-#)
cuite,k8it,(c-k.u-8.i-i.t-t.e-#)
cuites,k8it,(c-k.u-8.i-i.t-t.e-#.s-#)
cuites,k8it,(c-k.u-8.i-i.t-t.e-#.s-#)
cuits,k8i,(c-k.u-8.i-i.t-#.s-#)
cuits,k8i,(c-k.u-8.i-i.t-#.s-#)
cuivre,k8ivR%,(c-k.u-8.i-i.v-v.r-R.e-%)
cuivrée,k8ivRe,(c-k.u-8.i-i.v-v.r-R.é-e.e-#)
cuivres,k8ivR%,(c-k.u-8.i-i.v-v.r-R.e-%.s-#)
cul,ky,(c-k.u-y.l-#)
culbuta,kylbyta,(c-k.u-y.l-l.b-b.u-y.t-t.a-a)
culbute,kylbyt,(c-k.u-y.l-l.b-b.u-y.t-t.e-#)
culbute,kylbyt,(c-k.u-y.l-l.b-b.u-y.t-t.e-#)
culbutent,kylbyt,(c-k.u-y.l-l.b-b.u-y.t-t.e-#.n-#.t-#)
culbuter,kylbyte,(c-k.u-y.l-l.b-b.u-y.t-t.er-e)
culbutes,kylbyt,(c-k.u-y.l-l.b-b.u-y.t-t.e-#.s-#)
culbutés,kylbyte,(c-k.u-y.l-l.b-b.u-y.t-t.é-e.s-#)
culbuteurs,kylbyt9R,(c-k.u-y.l-l.b-b.u-y.t-t.eu-9.r-R.s-#)
culinaire,kylinER,(c-k.u-y.l-l.i-i.n-n.ai-E.r-R.e-#)
culinaires,kylinER,(c-k.u-y.l-l.i-i.n-n.ai-E.r-R.e-#.s-#)
culminant,kylmin@,(c-k.u-y.l-l.m-m.i-i.n-n.an-@.t-#)
culminant,kylmin@,(c-k.u-y.l-l.m-m.i-i.n-n.an-@.t-#)
culmine,kylmin,(c-k.u-y.l-l.m-m.i-i.n-n.e-#)
culot,kylO,(c-k.u-y.l-l.o-O.t-#)
culotte,kylot,(c-k.u-y.l-l.o-o.tt-t.e-#)
culotté,kylote,(c-k.u-y.l-l.o-o.tt-t.é-e)
culottée,kylote,(c-k.u-y.l-l.o-o.tt-t.é-e.e-#)
culottes,kylot,(c-k.u-y.l-l.o-o.tt-t.e-#.s-#)
culottés,kylote,(c-k.u-y.l-l.o-o.tt-t.é-e.s-#)
culpabilité,kylpabilite,(c-k.u-y.l-l.p-p.a-a.b-b.i-i.l-l.i-i.t-t.é-e)
culs,ky,(c-k.u-y.l-#.s-#)
culte,kylt%,(c-k.u-y.l-l.t-t.e-%)
cultivable,kyltivabl%,(c-k.u-y.l-l.t-t.i-i.v-v.a-a.b-b.l-l.e-%)
cultivables,kyltivabl%,(c-k.u-y.l-l.t-t.i-i.v-v.a-a.b-b.l-l.e-%.s-#)
cultivaient,kyltivE,(c-k.u-y.l-l.t-t.i-i.v-v.ai-E.e-#.n-#.t-#)
cultivait,kyltivE,(c-k.u-y.l-l.t-t.i-i.v-v.ai-E.t-#)
cultivant,kyltiv@,(c-k.u-y.l-l.t-t.i-i.v-v.an-@.t-#)
cultivateur,kyltivat9R,(c-k.u-y.l-l.t-t.i-i.v-v.a-a.t-t.eu-9.r-R)
cultivateurs,kyltivat9R,(c-k.u-y.l-l.t-t.i-i.v-v.a-a.t-t.eu-9.r-R.s-#)
cultive,kyltiv,(c-k.u-y.l-l.t-t.i-i.v-v.e-#)
cultivé,kyltive,(c-k.u-y.l-l.t-t.i-i.v-v.é-e)
cultivé,kyltive,(c-k.u-y.l-l.t-t.i-i.v-v.é-e)
cultivée,kyltive,(c-k.u-y.l-l.t-t.i-i.v-v.é-e.e-#)
cultivée,kyltive,(c-k.u-y.l-l.t-t.i-i.v-v.é-e.e-#)
cultivées,kyltive,(c-k.u-y.l-l.t-t.i-i.v-v.é-e.e-#.s-#)
cultivées,kyltive,(c-k.u-y.l-l.t-t.i-i.v-v.é-e.e-#.s-#)
cultivent,kyltiv,(c-k.u-y.l-l.t-t.i-i.v-v.e-#.n-#.t-#)
cultiver,kyltive,(c-k.u-y.l-l.t-t.i-i.v-v.er-e)
cultivèrent,kyltivER,(c-k.u-y.l-l.t-t.i-i.v-v.è-E.r-R.e-#.n-#.t-#)
cultiveront,kyltivR§,(c-k.u-y.l-l.t-t.i-i.v-v.e-#.r-R.on-§.t-#)
cultivés,kyltive,(c-k.u-y.l-l.t-t.i-i.v-v.é-e.s-#)
cultivions,kyltivj§,(c-k.u-y.l-l.t-t.i-i.v-v.i-j.on-§.s-#)
culture,kyltyR,(c-k.u-y.l-l.t-t.u-y.r-R.e-#)
culturelle,kyltyREl,(c-k.u-y.l-l.t-t.u-y.r-R.e-E.ll-l.e-#)
culturelles,kyltyREl,(c-k.u-y.l-l.t-t.u-y.r-R.e-E.ll-l.e-#.s-#)
culturels,kyltyREl,(c-k.u-y.l-l.t-t.u-y.r-R.e-E.l-l.s-#)
cultures,kyltyR,(c-k.u-y.l-l.t-t.u-y.r-R.e-#.s-#)
culturistes,kyltyRist%,(c-k.u-y.l-l.t-t.u-y.r-R.i-i.s-s.t-t.e-%.s-#)
cumin,kym5,(c-k.u-y.m-m.in-5)
cumulus,kymylys,(c-k.u-y.m-m.u-y.l-l.u-y.s-s)
cupides,kypid,(c-k.u-y.p-p.i-i.d-d.e-#.s-#)
curable,kyRabl%,(c-k.u-y.r-R.a-a.b-b.l-l.e-%)
curaçao,kyRasO,(c-k.u-y.r-R.a-a.ç-s.a-#.o-O)
curage,kyRaZ,(c-k.u-y.r-R.a-a.g-Z.e-#)
curare,kyRaR,(c-k.u-y.r-R.a-a.r-R.e-#)
curatif,kyRatif,(c-k.u-y.r-R.a-a.t-t.i-i.f-f)
curatif,kyRatif,(c-k.u-y.r-R.a-a.t-t.i-i.f-f)
cure,kyR,(c-k.u-y.r-R.e-#)
curé,kyRe,(c-k.u-y.r-R.é-e)
curieuse,kyRj9z,(c-k.u-y.r-R.i-j.eu-9.s-z.e-#)
curieuse,kyRj9z,(c-k.u-y.r-R.i-j.eu-9.s-z.e-#)
curieusement,kyRj9zm@,(c-k.u-y.r-R.i-j.eu-9.s-z.e-#.m-m.en-@.t-#)
